term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
two ventures,two ventures,7,0
two interests,two interests,7,0
four dogs,four dogs,7,0
two committees,two committees,6.67,0.471
three horses,three horses,7,0
two cars,two cars,7,0
four committees,four committees,7,0
two offices,two offices,7,0
four cities,four cities,7,0
that bottle,that bottle,7,0
these treaties,these treaties,7,0
three opinions,three opinions,7,0
two developers,two developers,7,0
four guns,four guns,7,0
three guns,three guns,7,0
this phone,this phone,7,0
these hotels,these hotels,7,0
two hurricanes,two hurricanes,7,0
every manufacturer,every manufacturer,7,0
three conventions,three conventions,7,0
those musicians,those musicians,7,0
this car,this car,7,0
three boats,three boats,7,0
two libraries,two libraries,7,0
every weight,every weight,7,0
these dates,these dates,7,0
those tables,those tables,7,0
this party,this party,7,0
two libraries,two libraries,7,0
these households,these households,7,0
three phones,three phones,7,0
four developers,four developers,7,0
three teams,three teams,6.5,0.5
those moments,those moments,7,0
three companies,three companies,7,0
these hospitals,these hospitals,7,0
this ball,this ball,7,0
this cat,this cat,7,0
two bears,two bears,6.5,0.5
these treaties,these treaties,7,0
four winds,four winds,7,0
every league,every league,7,0
two fighters,two fighters,5.8,2.4
four pubs,four pubs,7,0
these swords,these swords,7,0
that desire,that desire,7,0
four countries,four countries,7,0
these ships,these ships,5.5,2.598
three companies,three companies,7,0
four households,four households,7,0
this nation,this nation,7,0
four periods,four periods,7,0
all houses,all houses,7,0
two pigs,two pigs,7,0
these countries,these countries,7,0
two leagues,two leagues,7,0
these credits,these credits,7,0
these companies,these companies,7,0
those automobiles,those automobiles,7,0
those days,those days,7,0
three towns,three towns,7,0
that pub,that pub,7,0
two trains,two trains,7,0
that agency,that agency,7,0
this family,this family,7,0
this anger,this anger,6,1
two trains,two trains,6.6,0.8
this team,this team,7,0
these winds,these winds,7,0
these bombs,these bombs,7,0
that obligation,that obligation,7,0
two manufacturers,two manufacturers,7,0
two states,two states,7,0
these restaurants,these restaurants,7,0
four pubs,four pubs,7,0
two clubs,two clubs,7,0
those villages,those villages,7,0
three boats,three boats,7,0
all interests,all interests,4.5,2.5
these pubs,these pubs,7,0
those occasions,those occasions,7,0
two towns,two towns,7,0
two forks,two forks,7,0
all mortgages,all mortgages,7,0
these houses,these houses,7,0
two tables,two tables,7,0
that possession,that possession,7,0
this bus,this bus,7,0
all states,all states,7,0
every dollar,every dollar,6,1.414
these boroughs,these boroughs,7,0
three bombers,three bombers,7,0
four cyclones,four cyclones,5.8,2.4
this branch,this branch,7,0
four committees,four committees,4,3
these companies,these companies,7,0
two architects,two architects,7,0
this law,this law,7,0
three battleships,three battleships,7,0
this committee,this committee,7,0
all leagues,all leagues,7,0
these winds,these winds,7,0
three horses,three horses,7,0
these towns,these towns,7,0
two towns,two towns,7,0
all producers,all producers,7,0
these farmers,these farmers,7,0
four hospitals,four hospitals,7,0
all counties,all counties,7,0
two dogs,two dogs,7,0
these temperatures,these temperatures,7,0
two cannons,two cannons,7,0
three boroughs,three boroughs,7,0
this cup,this cup,7,0
those gains,those gains,7,0
this manufacturer,this manufacturer,7,0
these obligations,these obligations,7,0
these producers,these producers,7,0
those cities,those cities,7,0
three tornadoes,three tornadoes,7,0
these pens,these pens,7,0
that county,that county,7,0
those credits,those credits,7,0
four battleships,four battleships,7,0
two corners,two corners,7,0
four opinions,four opinions,7,0
those countries,those countries,7,0
two villages,two villages,7,0
these fears,these fears,7,0
every bill,every bill,7,0
two tables,two tables,7,0
three boroughs,three boroughs,7,0
three horses,three horses,7,0
these hospitals,these hospitals,7,0
these clouds,these clouds,7,0
that temperature,that temperature,7,0
this guitar,this guitar,6.75,0.433
three companies,three companies,7,0
these obligations,these obligations,5,0
this statute,this statute,7,0
every life,every life,7,0
two shares,two shares,4,3
four corners,four corners,7,0
this borough,this borough,7,0
those days,those days,7,0
those gains,those gains,6.75,0.433
those tables,those tables,7,0
three pounds,three pounds,7,0
those laws,those laws,4,3
that cow,that cow,7,0
two occasions,two occasions,7,0
those manufacturers,those manufacturers,7,0
every guitar,every guitar,7,0
these hospitals,these hospitals,7,0
three forks,three forks,7,0
four cows,four cows,7,0
two days,two days,7,0
four dates,four dates,7,0
those committees,those committees,7,0
three funds,three funds,7,0
those cats,those cats,7,0
every fund,every fund,6.5,0.5
three cows,three cows,7,0
those clubs,those clubs,5.5,2.598
two villages,two villages,7,0
this house,this house,7,0
two cities,two cities,7,0
those cities,those cities,7,0
four tables,four tables,7,0
those guns,those guns,7,0
four frigates,four frigates,7,0
these boats,these boats,7,0
these pigs,these pigs,7,0
three battleships,three battleships,7,0
two bonds,two bonds,7,0
three conventions,three conventions,7,0
these bonds,these bonds,7,0
three elephants,three elephants,7,0
those cheques,those cheques,7,0
two phones,two phones,7,0
three musicians,three musicians,7,0
this city,this city,7,0
two ventures,two ventures,7,0
that tribe,that tribe,7,0
two helicopters,two helicopters,7,0
that pain,that pain,7,0
these balls,these balls,7,0
all clubs,all clubs,7,0
four manufacturers,four manufacturers,7,0
four leagues,four leagues,7,0
those companies,those companies,7,0
three houses,three houses,7,0
three troops,three troops,7,0
these tables,these tables,7,0
three nations,three nations,7,0
this extension,this extension,7,0
three licences,three licences,7,0
those clubs,those clubs,7,0
four cents,four cents,7,0
this chair,this chair,7,0
every celebration,every celebration,7,0
those phones,those phones,7,0
these parties,these parties,7,0
these boroughs,these boroughs,7,0
four dogs,four dogs,7,0
two goats,two goats,7,0
these winds,these winds,7,0
all assignments,all assignments,7,0
this love,this love,5.75,2.165
three photographers,three photographers,7,0
two credits,two credits,7,0
all photographers,all photographers,7,0
two tribes,two tribes,7,0
two developers,two developers,7,0
these nations,these nations,7,0
three architects,three architects,7,0
four pennies,four pennies,7,0
three bills,three bills,7,0
those mortgages,those mortgages,7,0
two bears,two bears,5,2
two makers,two makers,7,0
those restaurants,those restaurants,7,0
two phones,two phones,7,0
four corners,four corners,7,0
two cents,two cents,7,0
two companies,two companies,6.8,0.4
two pubs,two pubs,7,0
three restaurants,three restaurants,7,0
two counties,two counties,7,0
two boats,two boats,7,0
three families,three families,7,0
two agencies,two agencies,7,0
three rockets,three rockets,5.5,2.598
two departments,two departments,7,0
that borough,that borough,7,0
every ship,every ship,7,0
two beds,two beds,7,0
that draft,that draft,7,0
two bills,two bills,7,0
that fund,that fund,7,0
four teams,four teams,7,0
that capital,that capital,7,0
three agencies,three agencies,7,0
three cents,three cents,7,0
three epochs,three epochs,7,0
all pubs,all pubs,7,0
four cats,four cats,7,0
those farmers,those farmers,7,0
these funds,these funds,7,0
three battleships,three battleships,7,0
these countries,these countries,7,0
three producers,three producers,7,0
those farmers,those farmers,7,0
two manufacturers,two manufacturers,7,0
four beds,four beds,7,0
this kingdom,this kingdom,7,0
this land,this land,7,0
three manufacturers,three manufacturers,7,0
those hotels,those hotels,7,0
four corners,four corners,7,0
every celebration,every celebration,7,0
two restaurants,two restaurants,7,0
these houses,these houses,7,0
two frigates,two frigates,7,0
three trucks,three trucks,7,0
that bed,that bed,7,0
this shirt,this shirt,7,0
four musicians,four musicians,7,0
those boroughs,those boroughs,7,0
those socks,those socks,7,0
that assignment,that assignment,7,0
all cities,all cities,7,0
those villages,those villages,5.75,2.165
all licences,all licences,7,0
those dresses,those dresses,7,0
those villages,those villages,7,0
all motorcycles,all motorcycles,7,0
these castles,these castles,7,0
two kingdoms,two kingdoms,7,0
two periods,two periods,7,0
three cyclones,three cyclones,7,0
these tables,these tables,6.67,0.471
every car,every car,7,0
these rings,these rings,7,0
four frigates,four frigates,7,0
these boats,these boats,7,0
two bombers,two bombers,7,0
two moments,two moments,7,0
three bonds,three bonds,7,0
three golds,three golds,7,0
that law,that law,7,0
two hotels,two hotels,7,0
two jets,two jets,7,0
those horses,those horses,7,0
all artists,all artists,7,0
three tribes,three tribes,7,0
four cannons,four cannons,7,0
those nations,those nations,7,0
two shares,two shares,7,0
these shares,these shares,7,0
this law,this law,7,0
three clubs,three clubs,7,0
two villages,two villages,7,0
that pain,that pain,7,0
that committee,that committee,7,0
two teams,two teams,7,0
these clubs,these clubs,7,0
that share,that share,7,0
this dance,this dance,7,0
these shirts,these shirts,7,0
those bombs,those bombs,7,0
two builders,two builders,7,0
three vans,three vans,7,0
that mass,that mass,7,0
two clubs,two clubs,7,0
that desire,that desire,7,0
four guitars,four guitars,7,0
all libraries,all libraries,6.4,1.2
every country,every country,7,0
these pants,these pants,7,0
four developers,four developers,7,0
those fears,those fears,7,0
these clubs,these clubs,7,0
those pounds,those pounds,7,0
three leagues,three leagues,7,0
this obligation,this obligation,7,0
two ovens,two ovens,7,0
those bottles,those bottles,7,0
those offices,those offices,7,0
two departments,two departments,4,3
these desires,these desires,7,0
four drafts,four drafts,7,0
this moment,this moment,7,0
two trucks,two trucks,7,0
three makers,three makers,7,0
three shares,three shares,7,0
four boroughs,four boroughs,5,2.828
this venture,this venture,7,0
two laws,two laws,7,0
these dances,these dances,7,0
these interests,these interests,6.4,1.2
two states,two states,7,0
these teams,these teams,7,0
three kingdoms,three kingdoms,7,0
four laws,four laws,7,0
four cruisers,four cruisers,7,0
four producers,four producers,7,0
two offices,two offices,7,0
this fear,this fear,7,0
those bills,those bills,7,0
all boats,all boats,7,0
those kingdoms,those kingdoms,6,0
these castles,these castles,7,0
two funds,two funds,7,0
these restaurants,these restaurants,7,0
two grenades,two grenades,7,0
that county,that county,7,0
two committees,two committees,7,0
this investment,this investment,7,0
this date,this date,7,0
all shares,all shares,7,0
four cows,four cows,4,3
this law,this law,7,0
two bombs,two bombs,7,0
four boroughs,four boroughs,7,0
three checks,three checks,7,0
this manufacturer,this manufacturer,7,0
two teams,two teams,7,0
these trains,these trains,7,0
two pickups,these developers,2.33,1.247
three cats,those automobiles,1.5,0.5
four treaties,that guitar,1.17,0.373
two cats,this chair,2,0
four balls,these temperatures,1.5,1.118
three hospitals,that wind,1,0
four parties,these buses,1,0
three battleships,those families,2,0
that sword,all periods,3,0
this draft,all fighters,1,0
two cats,that hotel,2.67,1.247
three makers,those clubs,1,0
three rockets,these towns,1,0
these interests,all towns,1,0
four boats,these laws,1.2,0.4
three cylinders,this dress,1,0
these ships,every extension,1.33,0.745
four bills,that cancer,1.43,1.05
three fighters,those counties,1,0
those bonds,all producers,1,0
these tribes,every period,1.5,0.5
that party,all funds,1.6,1.2
that bed,all producers,1,0
three bonds,these committees,1,0
two countries,those committees,1,0
three dogs,those assignments,1.17,0.373
four corners,those teams,1.6,1.2
four lions,this ship,2.4,1.356
four cars,these profits,2,0
three dollars,this family,1.33,0.471
that bond,all committees,2,1.414
two pounds,that venture,6,0
these beans,all libraries,1.8,1.166
two hotels,that law,2.5,1.5
that train,every farmer,1,0
four tornadoes,these cottages,1,0
three tables,this convention,1.2,0.4
those dates,all departments,1.67,0.943
four credits,these lands,1.67,0.943
two treaties,these masses,1,0
those passions,every boat,1,0
four tables,those committees,1.33,0.471
that bond,all committees,1,0
those libraries,every moment,1,0
these cats,all extensions,1,0
this train,all weights,1.67,0.943
four periods,that capital,1.2,0.4
two treaties,these masses,3,0
four battleships,this family,1,0
two cars,these shares,1.33,0.471
three grenades,that borough,1,0
these villages,every hotel,1,0
two cows,these credits,2,1
this shirt,every opinion,1,0
four castles,that income,2,1.414
two leagues,that train,1,0
those profits,all cylinders,1,0
that company,all musicians,2,0
two masses,those families,2.25,1.639
four treaties,that guitar,1,0
this phone,all credits,2,1.265
four villages,these companies,2.33,0.943
three grenades,that borough,1,0
four cities,those assignments,1,0
that margin,every hotel,1.33,0.471
three nations,this bed,2.5,1.5
that credit,every builder,1,0
those cheques,every phone,1.33,0.471
those bottles,all manufacturers,1,0
four companies,these restaurants,3,1.414
three troops,that boat,1,0
those guns,all checks,1,0
these interests,all towns,2.67,2.357
four days,this credit,2,1
four designers,these fighters,1,0
those restaurants,every town,1,0
two ducks,that length,1.33,0.471
these tables,all libraries,1,0
two ships,this agency,1,0
three cannons,that draft,1,0
four trucks,these musicians,1,0
four cats,those cities,1,0
these ceremonies,every developer,1,0
four developers,that ceremony,1.5,0.5
two companies,this licence,1.2,0.4
two cats,this chair,1.5,0.866
two companies,this licence,1,0
this hospital,every guitar,1,0
four artists,this opinion,3.5,0.5
two nations,this ring,1,0
four ships,this dance,1.4,0.8
these companies,every penny,1,0
that celebration,all farmers,1.5,0.866
three moments,this cup,1,0
two leagues,that train,1,0
two bottles,these kingdoms,1,0
three rings,that artist,1.67,0.471
that cat,every licence,1,0
two nations,that moment,3,1.414
this train,all weights,1,0
four masses,that castle,1,0
this chair,every impulse,1,0
three cities,that bill,1,0
those nations,every maker,1,0
those chairs,all families,1,0
these tribes,every period,2,1
two photographers,this family,1,0
four constitutions,this town,1,0
three conventions,this passion,2.5,0.5
four bills,that cancer,1,0
two boroughs,those dates,1.5,0.5
that mass,every family,1.5,0.5
three ceremonies,this interest,1,0
these celebrations,every fighter,2.33,1.886
those guns,all towns,1,0
this temperature,every interest,1,0
that ball,all pubs,1,0
two treaties,that ball,1.75,1.299
this cup,all beds,1.67,0.943
this library,every cent,1,0
four assignments,those hospitals,2,1.414
three grenades,these rings,2.5,2.598
four masses,these profits,1,0
those towns,all guitars,1,0
four agencies,that fear,1,0
two moments,those ships,1.4,0.8
four pounds,that car,2,0
those guns,all buses,1,0
those pants,every chair,1.2,0.4
this phone,every law,1.33,0.471
two musicians,those boats,1.25,0.433
three moments,this cup,2,1.549
three tribes,those shirts,2,0
four dates,those pains,1,0
three tables,this convention,1,0
three committees,this chair,2.5,1.5
three apples,this weight,1,0
that kingdom,every fund,1,0
two checks,those ships,2,1
three teams,those bottles,1,0
that coat,every credit,1.5,0.5
this suburb,every cow,1.33,0.471
two trains,these designers,1,0
four developers,those cows,1,0
those bills,all producers,1,0
those conventions,all tables,2,0
those libraries,every moment,2,1.414
four chairs,those cats,1,0
three villas,those clouds,1,0
three cylinders,this temperature,1,0
this family,every mass,3,0
four balls,that state,1,0
three periods,those rings,1,0
this boat,all pubs,1.25,0.433
that mass,every castle,1,0
that bond,every maker,1,0
three hospitals,that county,1,0
four constitutions,this town,1,0
three guns,those temperatures,1,0
three opinions,these funds,2,1
four corners,that train,1,0
three horses,those passions,1,0
this fear,all beds,1,0
three interests,these laws,1,0
that cloud,every county,1,0
three fighters,those counties,1.14,0.35
that celebration,all farmers,1,0
three cats,this office,1.6,0.8
four opinions,these shirts,1.67,0.943
three weights,these cars,2.5,1.5
that family,all balls,1.5,0.5
these villages,all extensions,1.5,0.866
three cups,these weights,1.2,0.4
two ducks,these pubs,3,1.414
these shirts,all beds,1.17,0.373
two fighters,this butterfly,1,0
four grenades,that family,4,0
four assignments,those hospitals,1.8,1.166
four lions,this ship,2,0
four dogs,that momentum,1.8,1.166
this bed,every cup,1,0
those pounds,every car,1,0
three chairs,those conventions,4,0
three boats,those incomes,1,0
this opinion,every venture,2.5,1.5
three pigs,that party,1,0
this gain,every ache,3.5,0.5
those conventions,all tables,1,0
two architects,these bottles,1.5,0.5
these agencies,all beds,2,1.414
that obligation,every credit,1,0
two families,those designers,1,0
that nation,all lengths,1.5,0.866
two opinions,those cities,1,0
three fighters,those villages,1,0
these mortgages,every ball,3,0
that pain,every village,1,0
those companies,all villages,1,0
two conventions,this chair,1,0
those guns,every truck,1,0
three farmers,that draft,1.33,0.471
those bombs,every television,1.33,0.471
that branch,every land,1,0
two laws,those companies,1,0
two balls,those lands,1.25,0.433
three bills,those counties,1.75,1.299
two ducks,these pubs,1,0
two coats,that ring,2,0
two domes,these restaurants,2,1.155
four periods,this cottage,1,0
two restaurants,this guitar,2.5,0.5
these dates,every dog,1,0
two ducks,that length,2,1
three chairs,those conventions,1.6,1.2
two masses,this coat,1,0
this temperature,every interest,1,0
three cats,that gun,2,0
three balls,those incomes,1,0
two pubs,these nations,1.67,0.943
two ships,this agency,1.33,0.471
three bills,those villages,1.6,1.2
three pubs,these nations,1.33,0.471
this gun,every ship,2.5,1.5
two boroughs,those dates,1,0
that train,all masses,5,0
these pigs,all departments,2,0
those chairs,every aircraft,1.5,0.5
these wonders,all laws,2,0
three committees,this chair,1,0
three guns,that day,1,0
these bottles,every committee,1,0
three coats,that credit,2,0
four towns,that committee,1,0
these boats,every draft,4,0
those incomes,every shirt,1,0
these houses,all cats,1,0
those companies,all villages,5,0
four villages,that ship,1,0
these tables,all libraries,1.5,0.5
this party,every cow,1.5,0.866
these nations,all countries,1,0
that bond,all boats,1,0
three domes,that shirt,2.5,1.5
two days,these nations,2,1.225
those incentives,every kingdom,1,0
three boroughs,this occasion,1.8,1.166
three households,those guns,1,0
four motorcycles,those boroughs,1,0
that ball,all pubs,1,0
three villas,those clouds,1,0
that cat,every licence,1,0
two fighters,this butterfly,1,0
two cows,that sensitivity,1,0
two cups,that cancer,1.5,0.866
this library,every cent,1,0
this house,all interests,1,0
this dog,all corners,1.33,0.471
two boroughs,these teams,2,1
four weights,this bottle,1,0
two phones,that shirt,1,0
two opinions,this table,1,0
two cathedrals,this convention,1,0
four manufacturers,these periods,1,0
four lions,this gun,1,0
this chair,every length,1.4,0.8
four cats,those houses,1,0
four houses,that country,1,0
four cats,that opinion,1,0
that profit,every nation,3,0
two restaurants,this guitar,1,0
two makers,that phone,1.25,0.433
that bed,all producers,1,0
four lions,those musicians,1,0
that restaurant,every passion,1,0
three weights,these cars,2.67,1.247
four households,these libraries,3.5,2.291
three boats,these beans,1.25,0.433
those restaurants,every manufacturer,1,0
two trains,these designers,2,0
four pounds,that car,4,0
those dances,every bond,1,0
four tornadoes,these cottages,1.33,0.471
two boroughs,those photographers,1.5,0.5
three treaties,these masses,1,0
this restaurant,every team,1.75,1.299
those restaurants,every town,1,0
those laws,all companies,1.33,0.471
three grenades,this ring,1,0
this phone,all credits,2.5,1.5
four extensions,this ring,1.33,0.471
that possession,all obligations,2.67,1.247
three cats,those automobiles,1,0
four developers,that ceremony,2.17,1.067
four guns,that library,2.67,1.247
that fear,every developer,2.5,1.5
four bottles,these teams,2,1
that chair,every aircraft,2.33,1.247
this family,every ball,1.33,0.471
four weights,these ships,1.33,0.745
four hurricanes,this acceptance,1,0
those artists,every date,1,0
two countries,those committees,1,0
those incomes,every shirt,1,0
four manufacturers,these periods,1,0
those fears,every incentive,2.5,1.5
four hotels,these dances,2.5,1.5
this company,every venture,1.67,0.471
three cannons,that draft,1,0
two hurricanes,that acceptance,1,0
four masses,these profits,1,0
that dance,all departments,1,0
those bonds,all producers,1,0
that desire,every day,1,0
four periods,that nation,1,0
four pennies,these houses,1.67,0.943
these ships,every extension,1.67,0.943
that chair,every aircraft,2,1.414
those nations,every maker,1,0
those bombs,every television,2,1.414
three rifles,that house,1.25,0.433
those tables,every producer,2,0
those guns,all checks,1.5,0.5
two rifles,that fund,2,0
four cruisers,this artist,1,0
four producers,that league,1,0
two kingdoms,that committee,1.5,0.5
this wind,all mortgages,1.2,0.4
this convention,every office,2,1.414
four occasions,those guitars,1,0
that cup,every ball,1,0
four trucks,these musicians,1,0
those musicians,all statutes,1,0
three cats,that gun,1.33,0.471
four cars,these profits,1,0
two offices,that boat,1.75,1.299
three ventures,these houses,1.25,0.433
those profits,all cylinders,1,0
that team,every fear,1,0
three licences,those ships,1,0
those designers,all dogs,1,0
these bottles,all interests,1,0
those restaurants,every manufacturer,1,0
four balls,these temperatures,2,1
that margin,every hotel,1,0
this cat,every department,1,0
these agencies,all beds,1.5,0.5
three funds,these opinions,3,0
two kingdoms,that artist,2.5,1.5
those guns,all towns,1,0
these days,every nation,1,0
that fear,every developer,1,0
those phones,every length,1,0
four buses,this opinion,1,0
two makers,these houses,1,0
four ships,those tables,1,0
two dogs,that corner,1,0
that epoch,all temperatures,1.25,0.433
two restaurants,that date,1.43,1.05
two balls,this chair,1.67,0.943
two rings,this team,1.25,0.433
three periods,those rings,1.25,0.433
three agencies,this village,1.25,0.433
those artists,every date,4,0
two rats,this hospital,1,0
these counties,all conventions,1,0
two families,those designers,3,1
these bottles,all interests,1.5,0.5
these dances,all nations,1.75,0.433
four hotels,that phone,1,0
those dances,every bond,1.33,0.471
that profit,every nation,1,0
these ships,all leagues,1,0
two fighters,these families,1.25,0.433
these libraries,all obligations,1,0
two tables,this cottage,2,0
three credits,this club,4,0
two manufacturers,these bombs,2.67,1.247
four cars,these bonds,1.5,0.5
three dates,these moths,1,0
two moments,those ships,3,0
two dogs,this income,1,0
four chairs,those cats,1,0
that pain,every maker,1,0
two rings,this team,1.25,0.433
these boats,all treaties,1,0
four villages,that ship,1,0
four castles,that gain,1,0
that stretch,every land,1.33,0.471
this hospital,every guitar,1.33,0.471
two counties,that day,1,0
three grenades,this ring,1,0
those ships,every committee,2,1.095
four kingdoms,those tables,2,1
these companies,every penny,3,2
that guitar,all motorcycles,1,0
three towns,those dogs,2,0
four ships,this dance,2,2
these manufacturers,all interests,1,0
these treaties,every boat,1.5,0.5
three cents,those towns,1,0
two kingdoms,these pigs,2,1.414
those libraries,every manufacturer,1,0
these developers,every mortgage,2,1.414
three cups,these weights,1,0
two musicians,those boats,1,0
those restaurants,all manufacturers,1.33,0.471
three dates,this house,1,0
two architects,these libraries,1,0
two nations,these lands,1.5,0.5
two missiles,this chair,1,0
that ceremony,every cottage,1.33,0.471
three bombers,that opinion,1,0
four households,these suburbs,1.33,0.471
this dress,every cylinder,1,0
that company,all parties,2,1
three ferries,these musicians,1,0
two interests,those temperatures,1.33,0.471
this house,all interests,2,0
three rings,that artist,1,0
two checks,those ships,1,0
four axes,those incentives,1,0
three bombers,that opinion,1,0
three days,this desire,1.5,0.5
these credits,every corner,1.25,0.433
four motorcycles,those boroughs,2.17,1.344
four kingdoms,that bottle,1,0
that fund,every cylinder,1,0
four pigs,that train,1.33,0.471
two teams,those fears,1,0
these checks,all occasions,1.5,0.5
those restaurants,all manufacturers,1.5,0.866
two domes,these restaurants,2,1
two counties,that day,2.5,1.118
three ventures,this department,1,0
two assignments,those hospitals,3,2
three horses,these missiles,1.5,0.5
these days,every share,1,0
two ships,those pants,1,0
two cars,these shares,1,0
four guns,this ball,1,0
those fears,all interests,1,0
four cylinders,that share,2.25,1.299
that date,all artists,1,0
this phone,all families,2.5,1.5
four agencies,that fear,1,0
these dances,every nation,1,0
four hotels,that phone,1,0
four makers,this shirt,1.25,0.433
four ships,those tables,2,1.732
that restaurant,every day,1.33,0.471
three bills,those counties,1,0
three treaties,this car,3,1
that law,every agency,1.5,0.5
two rifles,that fund,1,0
two offices,that boat,1,0
four hospitals,those phones,1,0
that city,all moments,1,0
four corners,these bonds,1,0
three tornadoes,these committees,1.8,1.166
four designers,these fighters,2,0.816
three bonds,those clubs,2,1
two hotels,those buses,1,0
four weights,these ships,1.33,0.471
three boroughs,these ships,1.5,0.866
two villages,those agencies,1,0
four licences,these buses,1.5,0.5
two committees,those bottles,1,0
four corners,those pliers,2.2,1.166
four hurricanes,this acceptance,1,0
two kingdoms,those funds,2,1
four turtles,those boats,1,0
that epoch,all temperatures,1,0
those days,all boats,1.17,0.373
that ceremony,every cottage,1,0
three dates,this house,1.5,0.5
two guns,these funds,1,0
three bills,that fear,1,0
that fund,all cities,2,1.414
three licences,these cats,1,0
four designers,those families,1.75,0.829
two dogs,this income,1,0
two boats,these days,1,0
this fund,every gun,1,0
four pubs,those parties,2,0
two pickups,those families,1,0
this fear,all beds,1.25,0.433
two interests,those temperatures,2.33,1.247
three bills,that fear,1,0
three corners,these agencies,2.17,1.344
this boat,all pubs,1,0
four balls,that state,1,0
four balls,these pigs,1.33,0.471
those fears,every incentive,1,0
two countries,these pigs,2,1
